Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
1.00E-02,0.3532,0,0,4.98E-05,0,Ps,17.7873888
2.00E-02,0.3022,0,0,3.52E-05,0,Dir,24.5873888
3.00E-02,0.2646,0,0,2.87E-05,0,Ex,20.61577496
4.00E-02,0.2368,0,0,2.49E-05,0,,
5.00E-02,0.2146,0,0,2.23E-05,0,,
6.00E-02,0.1968,0,0,2.03E-05,0,,
7.00E-02,0.1822,0,0,1.88E-05,0,,
8.00E-02,0.1698,0,0,1.76E-05,0,,
9.00E-02,0.1594,0,0,1.66E-05,0,,
1.00E-01,0.1504,0,0,1.57E-05,0,,
1.10E-01,0.1426,0,0,1.50E-05,0,,
1.20E-01,0.1358,0,0,1.44E-05,0,,
1.30E-01,0.1297,0,0,1.38E-05,0,,
1.40E-01,0.1243,0,0,1.33E-05,0,,
1.50E-01,0.1195,0,0,1.29E-05,0,,
1.60E-01,0.1151,0,0,1.24E-05,0,,
1.70E-01,0.1112,0,0,1.21E-05,0,,
1.80E-01,0.1076,0,0,1.17E-05,0,,
1.90E-01,0.1043,0,0,1.14E-05,0,,
2.00E-01,0.1013,0,0,1.11E-05,0,,
2.10E-01,0.0985,0,0,1.09E-05,0,,
2.20E-01,0.0959,0,0,1.06E-05,0,,
2.30E-01,0.0935,0,0,1.04E-05,0,,
2.40E-01,0.0913,0,0,1.02E-05,0,,
2.50E-01,0.0893,0,0,9.96E-06,0,,
2.60E-01,0.0873,0,0,9.76E-06,0,,
2.70E-01,0.0855,0,0,9.58E-06,0,,
2.80E-01,0.0838,0,0,9.41E-06,0,,
2.90E-01,0.0822,0,0,9.24E-06,0,,
3.00E-01,0.0807,0,0,9.09E-06,0,,
3.10E-01,0.0793,0,0,8.94E-06,0,,
3.20E-01,0.078,0,0,8.80E-06,0,,
3.30E-01,0.0767,0,0,8.67E-06,0,,
3.40E-01,0.0755,0,0,8.54E-06,0,,
3.50E-01,0.0744,0,0,8.42E-06,0,,
3.60E-01,0.0733,0,0,8.30E-06,0,,
3.70E-01,0.0723,0,0,8.18E-06,0,,
3.80E-01,0.0713,0,0,8.08E-06,0,,
3.90E-01,0.0704,0,0,7.97E-06,0,,
4.00E-01,0.0695,0,0,7.87E-06,0,,
4.10E-01,0.0686,0,0,7.78E-06,0,,
4.20E-01,0.0678,0,0,7.68E-06,0,,
4.30E-01,0.067,0,0,7.59E-06,0,,
4.40E-01,0.0663,0,0,7.51E-06,0,,
4.50E-01,0.0656,0,0,7.42E-06,0,,
4.60E-01,0.0649,0,0,7.34E-06,0,,
4.70E-01,0.0642,0,0,7.26E-06,0,,
4.80E-01,0.0636,0,0,7.19E-06,0,,
4.90E-01,0.063,0,0,7.11E-06,0,,
5.00E-01,0.0624,0,0,7.04E-06,0,,
5.10E-01,0.0618,0,0,6.97E-06,0,,
5.20E-01,0.0613,0,0,6.90E-06,0,,
5.30E-01,0.0607,0,0,6.84E-06,0,,
5.40E-01,0.0602,0,0,6.77E-06,0,,
5.50E-01,0.0597,0,0,6.71E-06,0,,
5.60E-01,0.0592,0,0,6.65E-06,0,,
5.70E-01,0.0588,0,0,6.59E-06,0,,
5.80E-01,0.0583,0,0,6.54E-06,0,,
5.90E-01,0.0579,0,0,6.48E-06,0,,
6.00E-01,0.0575,0,0,6.43E-06,0,,
6.10E-01,0.0571,0,0,6.37E-06,0,,
6.20E-01,0.0567,0,0,6.32E-06,0,,
6.30E-01,0.0563,0,0,6.27E-06,0,,
6.40E-01,0.0559,0,0,6.22E-06,0,,
6.50E-01,0.0556,0,0,6.18E-06,0,,
6.60E-01,0.0552,0,0,6.13E-06,0,,
6.70E-01,0.0549,0,0,6.08E-06,0,,
6.80E-01,0.0545,0,0,6.04E-06,0,,
6.90E-01,0.0542,0,0,5.99E-06,0,,
7.00E-01,0.0539,0,0,5.95E-06,0,,
7.10E-01,0.0536,0,0,5.91E-06,0,,
7.20E-01,0.0533,0,0,5.87E-06,0,,
7.30E-01,0.053,0,0,5.83E-06,0,,
7.40E-01,0.0527,0,0,5.79E-06,0,,
7.50E-01,0.0524,0,0,5.75E-06,0,,
7.60E-01,0.0522,0,0,5.71E-06,0,,
7.70E-01,0.0519,0,0,5.67E-06,0,,
7.80E-01,0.0517,0,0,5.64E-06,0,,
7.90E-01,0.0514,0,0,5.60E-06,0,,
8.00E-01,0.0512,0,0,5.57E-06,0,,
8.10E-01,0.0509,0,0,5.53E-06,0,,
8.20E-01,0.0507,0,0,5.50E-06,0,,
8.30E-01,0.0505,0,0,5.46E-06,0,,
8.40E-01,0.0502,0,0,5.43E-06,0,,
8.50E-01,0.05,0,0,5.40E-06,0,,
8.60E-01,0.0498,0,0,5.37E-06,0,,
8.70E-01,0.0496,0,0,5.34E-06,0,,
8.80E-01,0.0494,0,0,5.31E-06,0,,
8.90E-01,0.0492,0,0,5.28E-06,0,,
9.00E-01,0.049,0,0,5.25E-06,0,,
9.10E-01,0.0488,0,0,5.22E-06,0,,
9.20E-01,0.0486,0,0,5.19E-06,0,,
9.30E-01,0.0484,0,0,5.16E-06,0,,
9.40E-01,0.0483,0,0,5.14E-06,0,,
9.50E-01,0.0481,0,0,5.11E-06,0,,
9.60E-01,0.0479,0,0,5.08E-06,0,,
9.70E-01,0.0478,0,0,5.05E-06,0,,
9.80E-01,0.0476,0,0,5.03E-06,0,,
9.90E-01,0.0474,0,0,5.00E-06,0,,
1.00E+00,0.0473,0,0,4.98E-06,0,,
1.10E+00,0.0458,0,0,4.75E-06,0,,
1.20E+00,0.0446,0,0,4.54E-06,0,,
1.30E+00,0.0436,0,0,4.37E-06,0,,
1.40E+00,0.0427,0,0,4.21E-06,0,,
1.50E+00,0.0444,0,0,4.07E-06,0,,
1.60E+00,0.0458,0,0,3.94E-06,0,,
1.70E+00,0.0472,0,0,3.82E-06,0,,
1.80E+00,0.0486,0,0,3.71E-06,0,,
1.90E+00,0.05,0,0,3.61E-06,0,,
2.00E+00,0.0515,0,0,3.52E-06,0,,
2.10E+00,0.053,0,0,3.44E-06,0,,
2.20E+00,0.0545,0,0,3.36E-06,0,,
2.30E+00,0.056,0,0,3.28E-06,0,,
2.40E+00,0.0575,0,0,3.21E-06,0,,
2.50E+00,0.0591,0,0,3.15E-06,0,,
2.60E+00,0.0606,0,0,3.09E-06,0,,
2.70E+00,0.0622,0,0,3.03E-06,0,,
2.80E+00,0.0638,0,0,2.98E-06,0,,
2.90E+00,0.0654,0,0,2.92E-06,0,,
3.00E+00,0.0671,0,0,2.87E-06,0,,
3.10E+00,0.0687,0,0,2.83E-06,0,,
3.20E+00,0.0704,0,0,2.78E-06,0,,
3.30E+00,0.0721,0,0,2.74E-06,0,,
3.40E+00,0.0738,0,0,2.70E-06,0,,
3.50E+00,0.0755,0,0,2.66E-06,0,,
3.60E+00,0.0772,0,0,2.62E-06,0,,
3.70E+00,0.0789,0,0,2.59E-06,0,,
3.80E+00,0.0806,0,0,2.55E-06,0,,
