Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
1.00E-02,13.2033,0,0,9.96E-05,0,Ps,6.8
2.00E-02,11.8169,0,0,7.04E-05,0,Dir,13.6
3.00E-02,10.901,0,0,5.75E-05,0,Ex,10.2
4.00E-02,10.2119,0,0,4.98E-05,0,,
5.00E-02,9.6585,0,0,4.45E-05,0,,
6.00E-02,9.1974,0,0,4.07E-05,0,,
7.00E-02,8.8019,0,0,3.76E-05,0,,
8.00E-02,8.4569,0,0,3.52E-05,0,,
9.00E-02,8.1505,0,0,3.32E-05,0,,
1.00E-01,7.8757,0,0,3.15E-05,0,,
1.10E-01,7.6277,0,0,3.00E-05,0,,
1.20E-01,7.4005,0,0,2.87E-05,0,,
1.30E-01,7.1911,0,0,2.76E-05,0,,
1.40E-01,6.9992,0,0,2.66E-05,0,,
1.50E-01,6.8205,0,0,2.57E-05,0,,
1.60E-01,6.6537,0,0,2.49E-05,0,,
1.70E-01,6.4975,0,0,2.41E-05,0,,
1.80E-01,6.3505,0,0,2.35E-05,0,,
1.90E-01,6.2116,0,0,2.28E-05,0,,
2.00E-01,6.0813,0,0,2.23E-05,0,,
2.10E-01,5.9582,0,0,2.17E-05,0,,
2.20E-01,5.8407,0,0,2.12E-05,0,,
2.30E-01,5.7281,0,0,2.08E-05,0,,
2.40E-01,5.6221,0,0,2.03E-05,0,,
2.50E-01,5.5206,0,0,1.99E-05,0,,
2.60E-01,5.4258,0,0,1.95E-05,0,,
2.70E-01,5.4008,0,0,1.92E-05,0,,
2.80E-01,5.2559,0,0,1.88E-05,0,,
2.90E-01,5.1984,0,0,1.85E-05,0,,
3.00E-01,5.0788,0,0,1.82E-05,0,,
3.10E-01,4.9948,0,0,1.79E-05,0,,
3.20E-01,4.8944,0,0,1.76E-05,0,,
3.30E-01,4.7993,0,0,1.73E-05,0,,
3.40E-01,4.7057,0,0,1.71E-05,0,,
3.50E-01,4.6184,0,0,1.68E-05,0,,
3.60E-01,4.5319,0,0,1.66E-05,0,,
3.70E-01,4.4506,0,0,1.64E-05,0,,
3.80E-01,4.3701,0,0,1.62E-05,0,,
3.90E-01,4.2946,0,0,1.59E-05,0,,
4.00E-01,4.2193,0,0,1.57E-05,0,,
4.10E-01,4.1492,0,0,1.56E-05,0,,
4.20E-01,4.079,0,0,1.54E-05,0,,
4.30E-01,4.0131,0,0,1.52E-05,0,,
4.40E-01,3.9481,0,0,1.50E-05,0,,
4.50E-01,3.8854,0,0,1.48E-05,0,,
4.60E-01,3.8252,0,0,1.47E-05,0,,
4.70E-01,3.7651,0,0,1.45E-05,0,,
4.80E-01,3.7094,0,0,1.44E-05,0,,
4.90E-01,3.6537,0,0,1.42E-05,0,,
5.00E-01,3.5997,0,0,1.41E-05,0,,
5.10E-01,3.5483,0,0,1.39E-05,0,,
5.20E-01,3.4968,0,0,1.38E-05,0,,
5.30E-01,3.448,0,0,1.37E-05,0,,
5.40E-01,3.4005,0,0,1.36E-05,0,,
5.50E-01,3.353,0,0,1.34E-05,0,,
5.60E-01,3.3084,0,0,1.33E-05,0,,
5.70E-01,3.2646,0,0,1.32E-05,0,,
5.80E-01,3.2208,0,0,1.31E-05,0,,
5.90E-01,3.1795,0,0,1.30E-05,0,,
6.00E-01,3.1391,0,0,1.29E-05,0,,
6.10E-01,3.0988,0,0,1.27E-05,0,,
