Energy,Total,Ps,Direct,Ann,Excitation ,Process,Threshold
1.00E-02,28.4221,0,0,1.84E-04,0,Ps,8.626
2.00E-02,25.5804,0,0,1.30E-04,0,Dir,15.426
3.00E-02,22.7387,0,0,1.06E-04,0,Ex,11.19
4.00E-02,19.9959,0,0,9.21E-05,0,,
5.00E-02,18.2089,0,0,8.24E-05,0,,
6.00E-02,16.4218,0,0,7.52E-05,0,,
7.00E-02,14.6348,0,0,6.96E-05,0,,
8.00E-02,12.9721,0,0,6.51E-05,0,,
9.00E-02,11.8482,0,0,6.14E-05,0,,
1.00E-01,10.7243,0,0,5.83E-05,0,,
1.10E-01,9.6004,0,0,5.55E-05,0,,
1.20E-01,8.5938,0,0,5.32E-05,0,,
1.30E-01,7.8868,0,0,5.11E-05,0,,
1.40E-01,7.1799,0,0,4.92E-05,0,,
1.50E-01,6.4729,0,0,4.76E-05,0,,
1.60E-01,5.8643,0,0,4.61E-05,0,,
1.70E-01,5.4195,0,0,4.47E-05,0,,
1.80E-01,4.9747,0,0,4.34E-05,0,,
1.90E-01,4.5299,0,0,4.23E-05,0,,
2.00E-01,4.1623,0,0,4.12E-05,0,,
2.10E-01,3.8824,0,0,4.02E-05,0,,
2.20E-01,3.6024,0,0,3.93E-05,0,,
2.30E-01,3.3224,0,0,3.84E-05,0,,
2.40E-01,3.1007,0,0,3.76E-05,0,,
2.50E-01,2.9244,0,0,3.68E-05,0,,
2.60E-01,2.7481,0,0,3.61E-05,0,,
2.70E-01,2.5718,0,0,3.55E-05,0,,
2.80E-01,2.4382,0,0,3.48E-05,0,,
2.90E-01,2.327,0,0,3.42E-05,0,,
3.00E-01,2.2159,0,0,3.36E-05,0,,
3.10E-01,2.1047,0,0,3.31E-05,0,,
3.20E-01,2.0242,0,0,3.26E-05,0,,
3.30E-01,1.9541,0,0,3.21E-05,0,,
3.40E-01,1.8839,0,0,3.16E-05,0,,
3.50E-01,1.8137,0,0,3.11E-05,0,,
3.60E-01,1.7652,0,0,3.07E-05,0,,
3.70E-01,1.7208,0,0,3.03E-05,0,,
3.80E-01,1.6763,0,0,2.99E-05,0,,
3.90E-01,1.6319,0,0,2.95E-05,0,,
4.00E-01,1.6026,0,0,2.91E-05,0,,
4.10E-01,1.5744,0,0,2.88E-05,0,,
4.20E-01,1.5462,0,0,2.84E-05,0,,
4.30E-01,1.5182,0,0,2.81E-05,0,,
4.40E-01,1.5002,0,0,2.78E-05,0,,
4.50E-01,1.4821,0,0,2.75E-05,0,,
4.60E-01,1.4641,0,0,2.72E-05,0,,
4.70E-01,1.4468,0,0,2.69E-05,0,,
4.80E-01,1.4352,0,0,2.66E-05,0,,
4.90E-01,1.4235,0,0,2.63E-05,0,,
5.00E-01,1.4119,0,0,2.61E-05,0,,
5.10E-01,1.4011,0,0,2.58E-05,0,,
5.20E-01,1.3935,0,0,2.55E-05,0,,
5.30E-01,1.3858,0,0,2.53E-05,0,,
5.40E-01,1.3782,0,0,2.51E-05,0,,
5.50E-01,1.3714,0,0,2.48E-05,0,,
5.60E-01,1.3663,0,0,2.46E-05,0,,
5.70E-01,1.3612,0,0,2.44E-05,0,,
5.80E-01,1.3561,0,0,2.42E-05,0,,
5.90E-01,1.3516,0,0,2.40E-05,0,,
6.00E-01,1.3481,0,0,2.38E-05,0,,
6.10E-01,1.3446,0,0,2.36E-05,0,,
6.20E-01,1.3411,0,0,2.34E-05,0,,
6.30E-01,1.3381,0,0,2.32E-05,0,,
6.40E-01,1.3356,0,0,2.30E-05,0,,
6.50E-01,1.3331,0,0,2.28E-05,0,,
6.60E-01,1.3306,0,0,2.27E-05,0,,
6.70E-01,1.3285,0,0,2.25E-05,0,,
6.80E-01,1.3266,0,0,2.23E-05,0,,
6.90E-01,1.3247,0,0,2.22E-05,0,,
7.00E-01,1.3229,0,0,2.20E-05,0,,
7.10E-01,1.3213,0,0,2.19E-05,0,,
7.20E-01,1.3198,0,0,2.17E-05,0,,
7.30E-01,1.3183,0,0,2.16E-05,0,,
7.40E-01,1.3168,0,0,2.14E-05,0,,
7.50E-01,1.3156,0,0,2.13E-05,0,,
7.60E-01,1.3143,0,0,2.11E-05,0,,
7.70E-01,1.3131,0,0,2.10E-05,0,,
7.80E-01,1.3119,0,0,2.09E-05,0,,
7.90E-01,1.3108,0,0,2.07E-05,0,,
8.00E-01,1.3097,0,0,2.06E-05,0,,
8.10E-01,1.3086,0,0,2.05E-05,0,,
8.20E-01,1.3076,0,0,2.03E-05,0,,
8.30E-01,1.3066,0,0,2.02E-05,0,,
8.40E-01,1.3056,0,0,2.01E-05,0,,
8.50E-01,1.3046,0,0,2.00E-05,0,,
8.60E-01,1.3037,0,0,1.99E-05,0,,
8.70E-01,1.3027,0,0,1.97E-05,0,,
8.80E-01,1.3018,0,0,1.96E-05,0,,
8.90E-01,1.3009,0,0,1.95E-05,0,,
9.00E-01,1.3,0,0,1.94E-05,0,,
9.10E-01,1.2991,0,0,1.93E-05,0,,
9.20E-01,1.2983,0,0,1.92E-05,0,,
9.30E-01,1.2974,0,0,1.91E-05,0,,
